,_record_id,_latitude,_longitude,number_of_operators,number_of_available_trolleys,serving_customer,maximum_number_of_vehicles_in_the_traffic_jam
31,71a4e11f-847b-4e41-9cb6-0ccfb7a01807,19.0639638,-98.3097392,2.0,2.0,1.0,5.0
32,115bf098-e947-4d09-ad07-9ad579164c35,19.0612967,-98.3110767,1.0,1.0,1.0,5.0
33,1f2c3241-509a-4d91-a433-1a15e96fd24b,19.0638883,-98.3092333,2.0,0.0,1.0,5.0
34,2a23ed7d-dbe7-490f-b61d-cea9b0ae028e,19.063999,-98.3093346,2.0,1.0,1.0,5.0
35,6f431744-a51b-4b36-b33f-13fb860ef131,19.0656979,-98.3107461,3.0,1.0,1.0,5.0
36,56562b58-bfeb-4165-8e3b-7bc0a5a224cf,19.0618411,-98.3067634,2.0,2.0,1.0,5.0
37,830c044c-e22c-4754-994c-6f42f69bf133,19.0183171,-98.21557604,1.0,0.0,1.0,5.0
38,a7c85035-e5ea-467d-a130-9b6fdd72cb9a,19.01827283,-98.21559178,1.0,0.0,1.0,5.0
39,05a48de5-9458-441c-b96b-9a22c187d974,19.0155334,-98.21561694,2.0,2.0,1.0,5.0
40,c57f43e8-8c23-4da5-b220-ff9b00e6b020,19.018353,-98.215618,1.0,1.0,1.0,5.0
41,af1d6ac9-3e31-42de-a4d2-873c080b8766,19.04734673,-98.2042665,1.0,1.0,1.0,5.0
42,9eac0dba-fb4b-4947-ba68-c406dadb6887,19.04881606,-98.20005555,1.5,0.0,1.0,5.0
43,81e9e876-3b3c-4376-a359-7ae4df145f0b,19.02267326,-98.24912536,3.0,1.0,1.0,5.0
44,54af96d2-2503-43ba-9fd5-55a3a132033f,19.02859849,-98.24905939,2.0,0.0,1.0,5.0
45,f4a602ca-651b-426d-9f76-26235729023d,19.03058484,-98.24607678,1.0,0.0,1.0,5.0
46,4f30ea03-1942-41d6-8a0c-784d5d42018a,19.03191336,-98.2501926,2.0,1.0,1.0,5.0
47,78332301-b37b-4907-af54-ab5447d68b98,19.02608248,-98.24929073,2.0,2.0,1.0,5.0
48,4770c182-25c2-45c5-b037-af1e91e6bf39,19.03195977,-98.24869562,2.0,0.0,1.0,5.0
49,ff5247f2-c585-4186-b053-2110d9c91ee8,19.03567158,-98.26256778,1.0,0.0,1.0,5.0
50,e2ebbe77-82e7-42ef-a00f-31447cc4fd97,19.03576737,-98.26247591,2.0,0.0,1.0,5.0
51,7a5ee078-77dc-4ae3-bb34-a3ea51498a8e,19.03505356,-98.26289614,2.0,0.0,1.0,5.0
52,37ab2566-b109-4fe1-b746-c39b26128686,19.03401664,-98.26284002,3.0,1.0,1.0,5.0
53,a320db7e-7291-4edc-a2d1-ba652932156b,19.03451455,-98.26354094,1.0,0.0,1.0,5.0
54,a4a324db-66a0-44b5-8173-00ec7a3f1cd4,19.03458605,-98.2639965,2.0,0.0,1.0,5.0
55,c808dd05-935b-4886-a9ee-68423df95168,19.03457953,-98.2641675,1.0,0.0,1.0,5.0
56,c09a34b6-013e-4019-b413-3e25a1bfe042,19.03514334,-98.26657739,1.0,0.0,1.0,5.0
57,0341e783-eb96-4f77-8629-04289dba411c,19.03547529,-98.26774155,1.0,0.0,1.0,5.0
58,2b0e047a-b369-4837-89ea-dc2ee2683bb3,19.03523033,-98.2673591,1.0,0.0,1.0,5.0
59,4b60fdac-1b7e-4fa4-bc52-165984631f40,19.03526136,-98.26670927,2.0,0.0,1.0,5.0
60,21b558f1-9d59-4f81-a89f-0024864c8120,19.03567092,-98.26255987,2.0,1.0,1.0,5.0
61,20d7fb07-39ae-4bf0-9edf-1781d965a52f,19.0356523,-98.26239232,1.0,2.0,1.0,5.0
62,7afa0159-f5aa-4e85-9403-220ec8781e1c,19.0343777,-98.2631016,2.0,2.0,1.0,5.0
