,_record_id,_latitude,_longitude,97_number_of_customers_in_store,268_number_fridges,104_how_many_shelves_does_the_micro_retailer_have,hola_somos_estudiantes_del_tec_de_monterrey_estamos_realiz,le_comento_que_toda_esta_informacin_es_confidencial,233_date_establishment,2_current_permanent_employees,4_number_permanent_employees_last_year,5_change_store_space_last_year,6_change_employees_average_salary_last_year,20_reviews_finances_monthly,49_inventory_records,18_sales_records,155_sales_registers_used_for,103_number_own_fridges,19_tax_id,145_number_direct_competitors,310_burnout,24_burnout,186_internet_connection,210_sales_channels,189_payment_methods,28_prefered_payment_method,31_different_prices_payment_method,269_cash_discount,270_card_extra_charge,271_card_fee,272_card_days_receive_money,273_platform_extra_charge,274_platform_fee,275_platform_days_receive_money,30_payment_methods_large_purchases,214_customer_relationship_tools,33_credit_to_customers,276_expected_days_informal_credit,35_interest_rate,36_credit_default_rate,38_average_margin_profits,193_sales_planning_tools,227_agreement_ecommerce_platforms,60_services,315_frequency_topups,316_frequency_utility_bills,317_home_deliveries,62_frequency_only_services,78_number_home_deliveries_week,77_delivery_timeslots,79_delivery_vehicle,64_comission_services,66_percentaje_services_income,69_why_not_services,311_topups,312_payment_of_utilities,313_home_deliveries,314_reception_delivery_packages,42_willingness_share_inventory_data_suppliers,44_willingness_inventory_management_suppliers,45_willingness_reorder_suppliers,46_willingness_reorder_suppliers_variety,47_willingness_reorder_suppliers_lower_prices,43_willingness_share_sales_data_suppliers,58_willingness_share_sales_data_mse,59_willingness_share_sales_data_mse_better_prices,172_supplier_frequency,185_place_orders_suppliers,53_special_conditions_suppliers,278_credit_interest,192_procurement_planning_tools,277_payment_method_suppliers,163_number_high_perishable_products,236_whatsapp
0,dff2998e-af74-4de6-8efd-488aca24e67b,19.0535362706,-98.233822273,2.0,0.0,4.0,,,,2.0,2.0,,,,,,,2.5,,3.0,,4.2,,,,,,,,,1.0,,,,,,,14.2,,1.6,,,,,9.0,28.5,13.6,10.5,2.0,,,,,,,,,,,,,,,,,,3.0,,,,,,0.0,2790144288.9
1,c596412f-4fc2-4983-acba-d9565859e42f,19.0535610353,-98.2341421351,0.0,4.0,8.0,,,,1.0,1.0,,,,,,,2.5,,4.0,,4.2,,,,,,,,,1.0,,,,,,,14.2,,1.6,,,,,9.0,28.5,13.6,10.5,2.0,,,,,,,,,,,,,,,,,,3.0,,,,,,6.1,2790144288.9
2,5bb632b3-41b5-4fb6-a817-b564e8b45a48,19.058654656,-98.232299887,0.0,0.0,4.0,,,,2.0,2.0,,,,,,,2.5,,0.0,,4.2,,,,,,,,,1.0,,,,,,,14.2,,1.6,,,,,9.0,28.5,13.6,10.5,2.0,,,,,,,,,,,,,,,,,,3.0,,,,,,6.1,2790144288.9
3,6774a0f6-bab4-4a58-bf94-95ad0b7cb438,19.0592929035,-98.2331576513,0.0,0.0,2.0,,,,1.0,1.0,,,,,,,2.5,,4.0,,4.2,,,,,,,,,1.0,,,,,,,14.2,,1.6,,,,,9.0,28.5,13.6,10.5,2.0,,,,,,,,,,,,,,,,,,3.0,,,,,,0.0,2790144288.9
4,6cc637fa-3d54-48c7-9499-6de13d0a26aa,19.0595846029,-98.2338639604,0.0,0.0,16.0,,,,0.0,0.0,,,,,,,2.5,,0.0,,4.2,,,,,,,,,1.0,,,,,,,14.2,,1.6,,,,,9.0,28.5,13.6,10.5,2.0,,,,,,,,,,,,,,,,,,3.0,,,,,,0.0,2790144288.9
5,2ab862d8-1449-42fe-9de0-63f0fa86e41c,19.0595598862,-98.2340100497,0.0,1.0,2.0,,,,1.0,1.0,,,,,,,2.5,,2.0,,4.2,,,,,,,,,1.0,,,,,,,14.2,,1.6,,,,,9.0,28.5,13.6,10.5,2.0,,,,,,,,,,,,,,,,,,3.0,,,,,,6.1,2790144288.9
6,eac16b89-1988-491f-a827-60481298aa35,19.0590374022,-98.233027074,1.0,0.0,2.0,,,,2.0,2.0,,,,,,,2.5,,0.0,,4.2,,,,,,,,,1.0,,,,,,,14.2,,1.6,,,,,9.0,28.5,13.6,10.5,2.0,,,,,,,,,,,,,,,,,,3.0,,,,,,0.0,2790144288.9
7,719cdad7-cf49-4c64-9f1d-004279b71da0,19.0607069876,-98.2298178552,0.0,2.0,12.0,,,,0.0,0.0,,,,,,,2.5,,6.0,,4.2,,,,,,,,,1.0,,,,,,,14.2,,1.6,,,,,9.0,28.5,13.6,10.5,2.0,,,,,,,,,,,,,,,,,,3.0,,,,,,6.1,2790144288.9
8,b7494ae1-8154-4538-afd2-f9362d561ed1,19.0594737148,-98.2252770749,0.0,0.0,8.0,,,,1.0,1.0,,,,,,,2.5,,2.0,,4.2,,,,,,,,,1.0,,,,,,,14.2,,1.6,,,,,9.0,28.5,13.6,10.5,2.0,,,,,,,,,,,,,,,,,,3.0,,,,,,0.0,2790144288.9
9,684fc35a-25b7-47b4-be58-bbc8c5bab3fb,19.0588832074,-98.2242125705,0.0,1.0,5.0,,,,1.0,1.0,,,,,,,2.5,,1.0,,4.2,,,,,,,,,1.0,,,,,,,14.2,,1.6,,,,,9.0,28.5,13.6,10.5,2.0,,,,,,,,,,,,,,,,,,3.0,,,,,,5.0,2790144288.9
